Wall time,Step,Value
1644437097.1790633,251000,-94.82391357421875
1644437098.7319117,251500,-94.20281219482422
1644437099.5347643,252000,-93.76842498779297
1644437100.7415392,252500,-93.76842498779297
1644437101.671054,253000,-94.26587677001953
1644437102.5108075,253500,-94.26587677001953
1644437103.75236,254000,-94.0916748046875
1644437104.983071,254500,-94.51795196533203
1644437106.3284721,255000,-94.51795196533203
1644437108.008979,255500,-95.26542663574219
1644437108.8317792,256000,-95.67796325683594
1644437111.644259,256500,-95.67796325683594
1644437112.843054,257000,-97.60321807861328
1644437113.6558807,257500,-98.00350189208984
1644437114.758932,258000,-98.25199890136719
1644437115.8011446,258500,-98.25199890136719
1644437116.969022,259000,-95.22796630859375
1644437118.5886917,259500,-92.81145477294922
1644437119.5102272,260000,-92.81145477294922
1644437120.940404,260500,-92.32559967041016
1644437123.123567,261000,-92.32559967041016
1644437124.2395816,261500,-91.56990051269531
1644437125.0145092,262000,-91.48760986328125
1644437126.3429575,262500,-91.57659912109375
1644437127.557711,263000,-91.57659912109375
1644437128.7006538,263500,-87.4465103149414
1644437129.8635442,264000,-86.2543716430664
1644437130.6853468,264500,-85.37590026855469
1644437131.5071495,265000,-85.74592590332031
1644437132.4296832,265500,-84.95465087890625
1644437133.7032776,266000,-84.76631164550781
1644437134.3794694,266500,-83.93836212158203
1644437135.0147712,267000,-82.86648559570312
1644437136.0280619,267500,-82.62104034423828
1644437137.2916837,268000,-80.22349548339844
1644437137.9539137,268500,-79.19219970703125
1644437138.8225899,269000,-76.19444274902344
1644437139.781027,269500,-75.8929672241211
1644437140.9040244,270000,-78.14938354492188
1644437141.7118657,270500,-74.25810241699219
1644437142.465848,271000,-74.78500366210938
1644437143.4601896,271500,-74.96675109863281
1644437144.2600513,272000,-72.89364624023438
1644437144.9502053,272500,-73.31659698486328
1644437146.0981367,273000,-72.3758544921875
1644437147.4355602,273500,-74.84832000732422
1644437148.566538,274000,-74.84832000732422
1644437149.755358,274500,-72.51495361328125
1644437150.753688,275000,-72.51495361328125
1644437151.6004279,275500,-72.17693328857422
1644437152.5269468,276000,-72.2471923828125
1644437153.4963562,276500,-72.439208984375
1644437154.3022022,277000,-72.41950225830078
1644437155.139961,277500,-72.3218002319336
1644437156.2839007,278000,-70.31641387939453
1644437157.3111565,278500,-69.3877944946289
1644437158.0591557,279000,-69.38504791259766
1644437159.260942,279500,-69.38504791259766
1644437160.5195763,280000,-70.08792114257812
1644437161.7153788,280500,-70.85821533203125
1644437162.4763436,281000,-71.49890899658203
1644437164.1678216,281500,-69.5088882446289
1644437164.9277909,282000,-69.52408599853516
1644437166.7229898,282500,-68.71086120605469
1644437167.6574907,283000,-69.57575988769531
1644437168.261876,283500,-71.2485580444336
1644437169.2103412,284000,-71.2485580444336
1644437170.1986985,284500,-69.99382781982422
1644437171.1900463,285000,-70.7679672241211
1644437171.8582606,285500,-70.50434875488281
1644437172.7768028,286000,-67.94605255126953
1644437173.7023282,286500,-66.48811340332031
1644437174.7226002,287000,-66.48448181152344
1644437175.8386164,287500,-64.8058853149414
